,country,year,gdp,electricity_demand,electricity_generation,biofuel_electricity,coal_electricity,fossil_electricity,gas_electricity,hydro_electricity,low_carbon_electricity,nuclear_electricity,oil_electricity,renewables_electricity,solar_electricity,wind_electricity
4564,Colombia,2007,449.786937344,53.36,54.2,0.36,2.21,9.78,6.26,44.0,44.42,0.0,1.31,44.42,0.01,0.05
4565,Colombia,2008,465.645797376,53.57,54.97,0.34,1.89,8.63,5.51,45.94,46.34,0.0,1.23,46.34,0.01,0.05
4566,Colombia,2009,473.234341888,54.79,55.85,0.5,3.34,14.64,9.53,40.64,41.21,0.0,1.77,41.21,0.01,0.06
4567,Colombia,2010,491.900633088,55.83,56.62,0.54,3.55,16.03,10.33,40.0,40.59,0.0,2.15,40.59,0.01,0.04
4568,Colombia,2011,524.200738816,57.39,58.92,0.59,1.5,9.89,6.82,48.39,49.03,0.0,1.57,49.03,0.01,0.04
4569,Colombia,2012,545.385086976,59.82,60.53,0.69,2.52,12.67,8.15,47.11,47.86,0.0,2.0,47.86,0.01,0.05
4570,Colombia,2013,571.946893312,70.84,72.19,0.96,5.6,21.4,13.3,49.76,50.79,0.0,2.5,50.79,0.01,0.06
4571,Colombia,2014,597.109833728,68.27,69.07,1.01,5.36,20.73,13.07,47.25,48.34,0.0,2.3,48.34,0.01,0.07
4572,Colombia,2015,615.339524096,75.81,76.22,1.28,6.98,26.92,15.51,47.94,49.3,0.0,4.43,49.3,0.01,0.07
4573,Colombia,2016,627.38137088,74.89,74.56,1.33,6.62,24.71,13.23,48.46,49.85,0.0,4.86,49.85,0.01,0.05
4574,Colombia,2017,635.907473408,77.54,77.47,1.47,3.08,15.35,9.8,60.64,62.12,0.0,2.47,62.12,0.01,0.0
4575,Colombia,2018,651.900551168,79.29,79.18,1.57,4.31,18.39,11.39,59.16,60.79,0.0,2.69,60.79,0.02,0.04
5202,Czechia,1990,146.168283136,61.58,62.27,0.0,47.02,48.52,0.38,1.16,13.75,12.59,1.12,1.16,0.0,0.0
5203,Czechia,1991,130.869280768,57.77,60.3,0.0,45.6,47.08,0.38,1.09,13.22,12.13,1.1,1.09,0.0,0.0
5204,Czechia,1992,131.88743168,56.01,59.05,0.0,43.91,45.4,0.38,1.4,13.65,12.25,1.11,1.4,0.0,0.0
5205,Czechia,1993,133.712371712,56.57,58.67,0.16,43.27,44.51,0.4,1.37,14.16,12.63,0.84,1.53,0.0,0.0
5206,Czechia,1994,139.362828288,57.95,58.4,0.32,42.24,43.64,0.39,1.46,14.76,12.98,1.01,1.78,0.0,0.0
5207,Czechia,1995,149.915926528,61.0,60.58,0.41,44.34,45.94,0.48,2.0,14.64,12.23,1.12,2.41,0.0,0.0
5208,Czechia,1996,158.34742784,63.83,63.83,0.29,45.43,48.72,1.04,1.97,15.11,12.85,2.25,2.26,0.0,0.0
5209,Czechia,1997,159.287115776,63.02,64.21,0.49,45.73,49.53,1.15,1.7,14.68,12.49,2.65,2.19,0.0,0.0
5210,Czechia,1998,160.81149952,62.16,64.62,0.59,45.31,49.45,1.29,1.4,15.17,13.18,2.85,1.99,0.0,0.0
5211,Czechia,1999,165.21388032,60.89,64.17,0.68,44.15,48.45,1.73,1.68,15.72,13.36,2.57,2.36,0.0,0.0
5212,Czechia,2000,174.5084416,62.88,72.9,0.52,52.75,57.03,1.69,1.76,15.87,13.59,2.59,2.28,0.0,0.0
5213,Czechia,2001,182.134898688,64.68,74.22,0.52,52.59,56.9,1.58,2.05,17.32,14.75,2.73,2.57,0.0,0.0
5214,Czechia,2002,187.506016256,64.61,76.0,0.5,49.91,54.27,1.61,2.49,21.73,18.74,2.75,2.99,0.0,0.0
5215,Czechia,2003,196.7386624,66.58,82.79,0.49,50.77,55.05,1.58,1.38,27.74,25.87,2.7,1.87,0.0,0.0
5216,Czechia,2004,209.118199808,68.07,83.79,0.71,50.31,54.72,1.54,2.02,29.07,26.33,2.87,2.74,0.0,0.01
5217,Czechia,2005,225.438384128,69.3,81.93,0.73,49.52,54.07,1.47,2.38,27.86,24.73,3.08,3.13,0.0,0.02
5218,Czechia,2006,244.024344576,71.03,83.66,0.92,49.65,54.09,1.57,2.55,29.57,26.05,2.87,3.52,0.0,0.05
5219,Czechia,2007,260.810031104,71.62,87.77,1.2,53.79,58.18,1.37,2.09,29.59,26.17,3.02,3.42,0.0,0.13
5220,Czechia,2008,271.3042944,71.81,83.28,1.45,48.77,53.01,1.02,2.02,30.27,26.55,3.22,3.72,0.01,0.24
5221,Czechia,2009,261.474025472,68.0,81.64,1.85,45.94,49.77,0.98,2.43,31.87,27.21,2.85,4.66,0.09,0.29
5222,Czechia,2010,270.895333376,70.29,85.24,2.16,46.9,51.33,1.38,2.79,33.91,28.0,3.05,5.91,0.62,0.34
5223,Czechia,2011,279.860772864,69.63,86.67,2.7,46.68,51.15,1.41,1.96,35.52,28.28,3.06,7.24,2.18,0.4
5224,Czechia,2012,277.620523008,69.49,86.61,3.37,43.98,48.22,1.49,2.13,38.39,30.32,2.75,8.07,2.15,0.42
5225,Czechia,2013,276.285980672,69.05,85.94,4.06,41.12,45.89,2.04,2.73,40.05,30.75,2.73,9.3,2.03,0.48
5226,Czechia,2014,283.780743168,68.71,85.01,4.66,40.73,45.51,1.82,1.91,39.5,30.33,2.96,9.17,2.12,0.48
5227,Czechia,2015,296.649588736,70.01,82.52,4.79,41.14,46.27,2.28,1.79,36.25,26.84,2.85,9.41,2.26,0.57
5228,Czechia,2016,303.850717184,71.04,82.01,4.76,41.97,48.52,3.73,2.0,33.49,24.1,2.82,9.39,2.13,0.5
5229,Czechia,2017,317.076144128,72.74,85.78,4.97,41.44,47.81,3.7,1.87,37.97,28.34,2.67,9.63,2.2,0.59
5230,Czechia,2018,326.100320256,72.95,86.86,4.83,41.2,47.51,3.77,1.63,39.35,29.92,2.54,9.43,2.36,0.61
5541,Denmark,1990,151.205740544,33.03,25.98,0.19,23.56,25.15,0.69,0.03,0.83,0.0,0.9,0.83,0.0,0.61
5542,Denmark,1991,154.193559552,34.57,36.54,0.29,33.44,35.48,0.83,0.03,1.06,0.0,1.21,1.06,0.0,0.74
5543,Denmark,1992,158.107713536,34.5,30.75,0.41,26.96,29.39,1.08,0.03,1.36,0.0,1.35,1.36,0.0,0.92
5544,Denmark,1993,159.029510144,35.16,33.98,0.55,29.33,32.37,1.59,0.03,1.61,0.0,1.45,1.61,0.0,1.03
5545,Denmark,1994,168.46880768,35.74,40.58,0.57,33.29,38.84,2.28,0.03,1.74,0.0,3.27,1.74,0.0,1.14
5546,Denmark,1995,174.56562176,35.95,36.74,0.65,27.36,34.88,3.63,0.03,1.86,0.0,3.89,1.86,0.0,1.18
5547,Denmark,1996,180.657864704,38.16,53.56,0.83,39.67,51.48,5.68,0.02,2.08,0.0,6.13,2.08,0.0,1.23
5548,Denmark,1997,187.612758016,37.03,44.28,0.98,28.76,41.35,6.78,0.02,2.93,0.0,5.81,2.93,0.0,1.93
5549,Denmark,1998,192.868466688,36.76,41.08,1.08,23.65,37.15,8.13,0.03,3.93,0.0,5.37,3.93,0.0,2.82
5550,Denmark,1999,199.692681216,36.58,38.89,1.32,20.08,34.51,9.06,0.03,4.38,0.0,5.37,4.38,0.0,3.03
5551,Denmark,2000,208.358719488,36.66,36.0,1.3,16.67,30.43,8.77,0.03,5.57,0.0,4.99,5.57,0.0,4.24
5552,Denmark,2001,211.275268096,37.15,37.72,1.51,17.82,31.87,9.27,0.03,5.85,0.0,4.78,5.85,0.0,4.31
5553,Denmark,2002,213.475426304,37.21,39.28,1.88,18.26,32.49,9.59,0.03,6.79,0.0,4.64,6.79,0.0,4.88
5554,Denmark,2003,215.532699648,37.61,46.16,2.49,25.31,38.09,9.76,0.02,8.07,0.0,3.02,8.07,0.0,5.56
5555,Denmark,2004,222.551113728,37.56,40.43,2.91,18.67,30.9,9.94,0.03,9.53,0.0,2.29,9.53,0.0,6.59
5556,Denmark,2005,229.050957824,37.6,36.23,3.17,15.46,26.43,8.78,0.02,9.8,0.0,2.19,9.8,0.0,6.61
5557,Denmark,2006,239.379202048,38.67,45.6,3.07,24.57,36.41,9.4,0.02,9.19,0.0,2.44,9.19,0.0,6.1
5558,Denmark,2007,242.933465088,38.36,39.31,3.1,19.89,29.01,7.04,0.03,10.3,0.0,2.08,10.3,0.0,7.17
5559,Denmark,2008,243.073646592,38.07,36.62,3.14,17.46,26.52,7.08,0.03,10.1,0.0,1.98,10.1,0.0,6.93
5560,Denmark,2009,232.468676608,36.72,36.39,3.32,17.69,26.32,6.67,0.02,10.07,0.0,1.96,10.07,0.0,6.73
5561,Denmark,2010,238.176026624,37.73,38.87,4.59,17.01,26.44,7.91,0.02,12.43,0.0,1.52,12.43,0.01,7.81
5562,Denmark,2011,242.7383808,36.54,35.22,4.37,13.98,21.05,5.84,0.02,14.17,0.0,1.23,14.17,0.01,9.77
5563,Denmark,2012,243.290013696,35.91,30.7,4.45,10.54,15.86,4.19,0.02,14.84,0.0,1.13,14.84,0.1,10.27
5564,Denmark,2013,245.558509568,35.82,34.74,4.31,14.29,18.78,3.42,0.01,15.96,0.0,1.07,15.96,0.52,11.12
5565,Denmark,2014,249.673711616,35.04,32.19,4.29,11.06,14.2,2.1,0.02,17.99,0.0,1.04,17.99,0.6,13.08
5566,Denmark,2015,253.683007488,34.84,28.93,4.18,7.11,10.0,1.82,0.02,18.93,0.0,1.07,18.93,0.6,14.13
5567,Denmark,2016,256.821805056,35.61,30.55,4.85,8.87,12.16,2.26,0.02,18.39,0.0,1.03,18.39,0.74,12.78
5568,Denmark,2017,262.051119104,35.59,31.03,6.25,6.21,9.23,2.02,0.02,21.8,0.0,1.0,21.8,0.75,14.78
5569,Denmark,2018,268.317622272,35.58,30.36,5.89,6.57,9.61,2.07,0.01,20.75,0.0,0.97,20.75,0.95,13.9
6128,Egypt,2000,443.940929536,74.32,74.47,0.0,0.0,60.77,43.41,13.56,13.7,0.0,17.36,13.7,0.0,0.14
6129,Egypt,2001,475.16270592,79.13,79.37,0.0,0.0,64.17,47.04,14.98,15.2,0.0,17.13,15.2,0.0,0.22
6130,Egypt,2002,501.186265088,84.08,84.81,0.0,0.0,71.88,57.33,12.73,12.93,0.0,14.55,12.93,0.0,0.2
6131,Egypt,2003,527.963291648,89.59,90.48,0.0,0.0,77.22,62.61,12.89,13.26,0.0,14.61,13.26,0.0,0.37
6132,Egypt,2004,560.813244416,95.51,96.21,0.0,0.0,83.17,72.92,12.52,13.04,0.0,10.25,13.04,0.0,0.52
6133,Egypt,2005,599.346511872,102.38,103.16,0.0,0.0,90.09,75.37,12.52,13.07,0.0,14.72,13.07,0.0,0.55
6134,Egypt,2006,649.072410624,109.15,109.5,0.0,0.0,96.08,81.21,12.8,13.42,0.0,14.87,13.42,0.0,0.62
6135,Egypt,2007,711.52173056,118.22,118.78,0.0,0.0,102.6,87.18,15.35,16.18,0.0,15.42,16.18,0.0,0.83
6136,Egypt,2008,772.704108544,123.39,124.29,0.0,0.0,108.85,91.56,14.53,15.44,0.0,17.29,15.44,0.0,0.91
6137,Egypt,2009,828.245147648,130.73,131.67,0.0,0.0,117.81,97.38,12.73,13.86,0.0,20.43,13.86,0.0,1.13
6138,Egypt,2010,895.0923264,158.86,160.3,0.0,0.0,145.67,123.33,12.92,14.63,0.0,22.34,14.63,0.21,1.5
6139,Egypt,2011,919.29608192,155.5,157.08,0.0,0.0,142.53,124.16,12.81,14.55,0.0,18.37,14.55,0.22,1.52
6140,Egypt,2012,945.768431616,164.0,164.4,0.0,0.0,150.05,128.34,12.99,14.35,0.0,21.71,14.35,0.24,1.12
6141,Egypt,2013,971.07181568,167.83,168.23,0.0,0.0,153.57,125.91,13.22,14.66,0.0,27.66,14.66,0.11,1.33
6142,Egypt,2014,1018.60704256,174.61,175.29,0.0,0.0,159.93,127.39,13.68,15.36,0.0,32.54,15.36,0.24,1.44
6143,Egypt,2015,1058.643968,185.63,186.32,0.0,0.0,170.68,133.29,13.41,15.64,0.0,37.39,15.64,0.17,2.06
6144,Egypt,2016,1104.510713856,189.31,189.58,0.0,0.0,174.08,139.85,12.72,15.5,0.0,34.23,15.5,0.58,2.2
6145,Egypt,2017,1159.010320384,196.5,196.84,0.0,0.0,181.31,155.01,12.6,15.53,0.0,26.3,15.53,0.6,2.33
6146,Egypt,2018,1221.832605696,199.05,199.62,0.0,0.0,182.31,166.61,12.77,17.31,0.0,15.7,17.31,1.52,3.02
7263,Finland,1990,134.055206912,65.03,54.39,5.16,9.66,19.15,4.66,10.86,35.24,19.22,4.83,16.02,0.0,0.0
7264,Finland,1991,126.22041088,65.27,57.98,5.0,9.79,20.27,4.95,13.2,37.71,19.51,5.53,18.2,0.0,0.0
7265,Finland,1992,122.11585024,66.12,57.73,4.95,7.66,18.41,5.18,15.11,39.32,19.26,5.57,20.06,0.0,0.0
7266,Finland,1993,121.309724672,68.66,61.08,5.96,9.84,21.71,5.55,13.48,39.37,19.93,6.32,19.44,0.0,0.0
7267,Finland,1994,126.178762752,72.18,65.64,6.47,13.98,27.94,6.43,11.79,37.7,19.43,7.53,18.27,0.0,0.01
7268,Finland,1995,131.58498304,72.45,64.04,6.61,11.07,25.27,6.63,12.93,38.77,19.22,7.57,19.55,0.0,0.01
7269,Finland,1996,136.504623104,73.04,69.38,5.89,15.12,32.14,8.51,11.86,37.24,19.48,8.51,17.76,0.0,0.01
7270,Finland,1997,145.148297216,76.81,69.16,7.89,12.84,28.12,6.88,12.24,41.04,20.89,8.4,20.15,0.0,0.02
7271,Finland,1998,153.137954816,79.46,70.15,9.33,7.94,23.9,8.82,15.05,46.25,21.85,7.14,24.4,0.0,0.02
7272,Finland,1999,160.061980672,80.58,69.46,8.36,8.95,25.3,9.54,12.78,44.16,22.97,6.81,21.19,0.0,0.05
7273,Finland,2000,169.209069568,81.67,69.79,8.64,8.49,23.93,10.13,14.66,45.86,22.48,5.31,23.38,0.0,0.08
7274,Finland,2001,173.703233536,84.25,74.29,8.27,10.61,29.98,11.69,13.2,44.31,22.77,7.68,21.54,0.0,0.07
7275,Finland,2002,176.75042816,86.65,74.73,8.99,12.71,32.6,11.63,10.78,42.13,22.3,8.26,19.83,0.0,0.06
7276,Finland,2003,180.407926784,88.93,84.08,9.38,19.25,42.29,13.85,9.59,41.79,22.73,9.19,19.06,0.0,0.09
7277,Finland,2004,187.631845376,90.47,85.6,10.44,16.5,37.25,12.75,15.07,48.35,22.72,8.0,25.63,0.0,0.12
7278,Finland,2005,192.989478912,87.34,70.33,9.51,6.5,23.6,11.23,13.78,46.73,23.27,5.87,23.46,0.0,0.17
7279,Finland,2006,200.964489216,93.45,82.05,10.81,16.33,36.68,12.32,11.49,45.37,22.91,8.03,22.46,0.0,0.16
7280,Finland,2007,211.541000192,93.48,80.92,9.95,13.89,33.18,10.56,14.18,47.74,23.42,8.73,24.32,0.0,0.19
7281,Finland,2008,213.224882176,89.75,76.98,10.4,8.5,26.25,11.03,17.11,50.73,22.96,6.72,27.77,0.0,0.26
7282,Finland,2009,195.736961024,83.87,71.78,8.73,11.13,26.55,9.82,12.69,45.23,23.53,5.6,21.7,0.0,0.28
7283,Finland,2010,201.743089664,90.84,80.34,10.97,14.54,33.36,11.26,12.92,46.98,22.8,7.56,24.18,0.0,0.29
7284,Finland,2011,207.082078208,87.06,73.21,11.24,9.78,25.84,9.45,12.45,47.37,23.19,6.61,24.18,0.01,0.48
7285,Finland,2012,204.128370688,87.53,70.09,11.2,7.1,18.54,6.73,16.86,51.55,22.99,4.71,28.56,0.01,0.49
7286,Finland,2013,202.579968,86.69,70.98,12.01,10.69,21.74,6.79,12.84,49.24,23.61,4.26,25.63,0.01,0.77
7287,Finland,2014,201.300410368,85.78,67.81,11.76,7.92,17.95,5.52,13.4,49.86,23.58,4.51,26.28,0.01,1.11
7288,Finland,2015,201.84399872,84.7,68.36,11.42,5.12,14.58,5.2,16.77,53.78,23.25,4.26,30.53,0.01,2.33
7289,Finland,2016,204.639584256,87.43,68.48,11.52,6.97,14.87,3.74,15.8,53.61,23.2,4.16,30.41,0.02,3.07
7290,Finland,2017,211.331219456,87.55,67.12,11.86,5.86,13.17,3.3,14.77,53.95,22.48,4.01,31.47,0.05,4.79
7291,Finland,2018,214.535733248,89.92,69.98,12.91,5.79,15.05,4.2,13.3,54.93,22.79,5.06,32.14,0.09,5.84
7386,France,1990,1636.207689728,371.76,417.2,1.41,31.47,47.34,3.03,53.87,369.86,314.08,12.84,55.78,0.0,0.0
7387,France,1991,1655.610540032,398.73,451.62,1.59,39.61,60.57,3.05,57.6,391.05,331.34,17.91,59.71,0.0,0.0
7388,France,1992,1682.859229184,406.22,460.02,1.62,34.23,50.47,3.18,68.96,409.55,338.45,13.06,71.1,0.0,0.0
7389,France,1993,1673.263972352,408.23,469.66,1.48,20.96,34.61,3.5,64.89,435.05,368.19,10.15,66.86,0.0,0.0
7390,France,1994,1713.239621632,411.43,474.6,1.66,20.9,33.67,3.63,78.79,440.93,359.98,9.14,80.95,0.0,0.0
7391,France,1995,1749.671477248,421.36,491.2,1.82,24.18,38.52,3.84,73.12,452.68,377.23,10.5,75.45,0.0,0.0
7392,France,1996,1774.691549184,440.35,509.16,1.93,28.04,43.35,4.12,66.04,465.81,397.34,11.19,68.47,0.0,0.01
7393,France,1997,1817.073025024,435.56,500.96,2.16,22.18,39.04,4.9,63.76,461.92,395.48,11.96,66.44,0.0,0.01
7394,France,1998,1882.612563968,449.69,507.25,2.13,33.53,54.5,4.97,62.09,452.75,387.99,16.0,64.76,0.0,0.02
7395,France,1999,1950.261968896,458.09,521.23,2.34,29.28,51.59,7.7,72.51,469.64,394.24,14.61,75.4,0.0,0.04
7396,France,2000,2031.94957824,464.12,533.6,2.48,27.0,50.61,11.51,64.78,482.99,415.16,12.1,67.83,0.01,0.05
7397,France,2001,2077.914824704,475.26,543.65,2.85,20.48,46.48,15.15,72.62,497.17,421.08,10.85,76.09,0.01,0.13
7398,France,2002,2107.291205632,475.09,552.12,3.04,23.66,52.67,18.37,58.88,499.45,436.76,10.64,62.69,0.01,0.27
7399,France,2003,2130.78376448,493.51,559.92,3.23,26.26,57.38,19.37,57.35,502.54,441.07,11.75,61.47,0.01,0.39
7400,France,2004,2196.565655552,505.28,567.19,3.31,24.37,56.53,21.05,58.04,510.66,448.24,11.11,62.42,0.01,0.59
7401,France,2005,2238.35717632,509.53,569.86,3.39,27.51,63.35,23.07,50.14,506.51,451.53,12.77,54.98,0.01,0.96
7402,France,2006,2296.438063104,504.66,568.0,3.38,22.89,56.9,21.76,54.88,511.1,450.19,12.25,60.91,0.01,2.18
7403,France,2007,2353.924145152,505.4,562.21,3.75,24.45,58.18,21.99,55.99,504.03,439.73,11.74,64.3,0.02,4.07
7404,France,2008,2361.538117632,519.36,567.35,3.97,23.06,55.57,21.88,62.16,511.78,439.45,10.63,72.33,0.04,5.69
7405,France,2009,2294.314958848,503.28,529.21,4.13,21.67,51.32,20.5,55.49,477.89,409.74,9.15,68.15,0.17,7.91
7406,France,2010,2341.292736512,532.12,562.83,4.44,23.36,57.63,23.76,61.2,505.2,428.52,10.51,76.68,0.62,9.94
7407,France,2011,2391.848255488,510.99,567.4,5.04,17.39,58.99,29.49,45.74,508.41,442.39,12.11,66.02,2.33,12.37
7408,France,2012,2395.403190272,522.56,567.08,5.3,21.46,56.42,22.75,59.83,510.66,425.41,12.21,85.25,4.43,15.18
7409,France,2013,2415.696805888,527.99,576.45,5.68,23.84,53.35,18.39,71.92,523.1,423.68,11.12,99.42,5.19,16.13
7410,France,2014,2424.453726208,499.0,566.19,5.99,11.26,35.68,13.16,63.77,530.51,436.48,11.26,94.03,6.39,17.32
7411,France,2015,2453.07277312,509.86,573.92,6.53,11.89,44.65,21.14,55.56,529.27,437.43,11.62,91.84,7.75,21.42
7412,France,2016,2479.389933568,517.15,558.65,7.52,10.23,56.45,34.97,60.84,502.2,403.2,11.25,99.0,8.66,21.38
7413,France,2017,2536.203354112,515.95,556.08,7.78,12.81,65.09,40.5,50.0,490.99,398.36,11.78,92.63,9.59,24.61
7414,France,2018,2581.673803776,512.86,575.83,8.38,8.31,49.27,30.61,65.11,526.56,412.94,10.35,113.62,10.92,28.6
7835,Germany,1990,2015.547621376,547.75,546.82,1.6,310.04,375.25,40.46,17.43,171.57,152.47,24.75,19.1,0.0,0.07
7836,Germany,1991,2140.549414912,535.26,535.83,1.87,307.67,371.62,36.11,14.89,164.21,147.23,27.84,16.98,0.0,0.22
7837,Germany,1992,2206.446125056,528.34,533.66,2.04,295.67,355.13,32.89,17.4,178.53,158.8,26.57,19.73,0.0,0.29
7838,Germany,1993,2210.102247424,523.36,522.49,1.97,293.25,348.69,34.57,17.88,173.8,153.28,20.87,20.52,0.0,0.67
7839,Germany,1994,2290.161025024,527.55,525.21,2.07,290.29,351.07,40.25,19.93,174.14,150.7,20.53,23.44,0.01,1.43
7840,Germany,1995,2356.39668736,537.63,532.81,2.43,289.14,353.79,43.18,21.78,179.02,153.09,21.47,25.93,0.01,1.71
7841,Germany,1996,2402.605858816,545.42,550.69,2.5,295.99,364.12,48.02,21.96,186.57,160.02,20.11,26.55,0.01,2.08
7842,Germany,1997,2474.738188288,545.66,548.01,2.65,284.34,354.62,49.73,17.36,193.39,170.33,20.55,23.06,0.02,3.03
7843,Germany,1998,2552.402542592,551.74,552.38,3.06,292.26,365.83,53.83,17.22,186.55,161.64,19.74,24.91,0.04,4.59
7844,Germany,1999,2632.65452032,553.58,552.54,3.51,281.27,353.82,55.06,19.65,198.72,170.0,17.49,28.72,0.03,5.53
7845,Germany,2000,2741.356986368,572.07,569.01,4.33,296.68,363.93,49.2,21.73,205.08,169.61,18.05,35.47,0.06,9.35
7846,Germany,2001,2819.462529024,582.62,578.96,4.59,293.74,369.76,55.5,22.73,209.2,171.3,20.52,37.9,0.12,10.46
7847,Germany,2002,2851.462971392,593.75,583.75,5.31,299.6,374.43,56.3,23.12,209.32,164.84,18.53,44.48,0.19,15.86
7848,Germany,2003,2863.394193408,597.43,600.7,8.95,304.63,388.97,62.59,18.32,211.73,165.06,21.75,46.67,0.31,19.09
7849,Germany,2004,2929.753849856,605.76,608.38,10.64,298.77,383.34,62.67,20.75,225.04,167.07,21.9,57.97,0.56,26.02
7850,Germany,2005,2983.874265088,606.66,611.23,14.71,288.14,384.78,72.19,19.64,226.45,163.05,24.45,63.4,1.28,27.77
7851,Germany,2006,3129.394593792,610.38,627.36,18.94,288.93,387.58,74.73,20.03,239.78,167.27,23.92,72.51,2.22,31.32
7852,Germany,2007,3268.102848512,613.18,629.74,24.62,297.1,399.83,77.45,21.17,229.91,140.53,25.28,89.38,3.08,40.51
7853,Germany,2008,3340.933005312,610.88,630.98,28.02,275.21,388.21,88.48,20.44,242.77,148.49,24.52,94.28,4.42,41.38
7854,Germany,2009,3189.039955968,574.39,586.66,30.89,253.45,355.79,80.27,19.03,230.87,134.93,22.07,95.94,6.58,39.42
7855,Germany,2010,3356.7932416,607.78,622.73,33.92,262.89,376.99,88.76,20.95,245.74,140.56,25.34,105.18,11.73,38.55
7856,Germany,2011,3519.131418624,599.49,603.26,36.89,262.46,371.25,85.67,17.67,232.01,107.97,23.12,124.04,19.6,49.86
7857,Germany,2012,3536.438165504,597.8,618.34,43.2,276.23,375.84,75.95,21.75,242.5,99.46,23.66,143.04,26.38,51.68
7858,Germany,2013,3553.715290112,596.91,629.1,45.51,288.2,379.47,67.0,23.0,249.63,97.29,24.27,152.34,31.01,52.74
7859,Germany,2014,3610.400784384,584.08,617.96,48.29,274.41,358.29,60.61,19.59,259.67,97.13,23.27,162.54,36.06,58.5
7860,Germany,2015,3672.553029632,590.39,638.67,50.33,272.2,358.09,61.47,18.98,280.58,91.79,24.42,188.79,38.73,80.62
7861,Germany,2016,3735.419092992,590.45,640.97,50.93,261.75,366.67,80.62,20.55,274.3,84.63,24.3,189.67,38.1,79.92
7862,Germany,2017,3827.498221568,591.58,644.04,50.92,241.26,351.4,86.04,20.15,292.64,76.32,24.1,216.32,39.4,105.69
7863,Germany,2018,3885.961314304,581.95,630.69,50.79,228.16,332.62,81.56,17.69,298.07,76.0,22.9,222.07,43.46,109.95
8122,Greece,1990,161.708982272,35.49,34.78,0.0,25.17,33.01,0.09,1.77,1.77,0.0,7.75,1.77,0.0,0.0
8123,Greece,1991,168.230944768,36.38,35.74,0.0,23.7,32.64,0.09,3.1,3.1,0.0,8.85,3.1,0.0,0.0
8124,Greece,1992,170.928734208,37.83,37.22,0.0,26.61,35.01,0.08,2.2,2.21,0.0,8.32,2.21,0.0,0.01
8125,Greece,1993,169.706668032,38.94,38.13,0.0,27.79,35.8,0.08,2.28,2.33,0.0,7.93,2.33,0.0,0.05
8126,Greece,1994,174.66261504,40.77,40.39,0.0,29.58,37.75,0.08,2.6,2.64,0.0,8.09,2.64,0.0,0.04
8127,Greece,1995,179.92843264,42.1,41.3,0.0,28.7,37.74,0.08,3.53,3.56,0.0,8.96,3.56,0.0,0.03
8128,Greece,1996,186.744569856,43.77,42.42,0.0,29.3,38.03,0.08,4.35,4.39,0.0,8.65,4.39,0.0,0.04
8129,Greece,1997,196.868816896,45.58,43.29,0.0,30.63,39.37,0.33,3.88,3.92,0.0,8.41,3.92,0.0,0.04
8130,Greece,1998,206.38072832,47.8,46.19,0.0,32.45,42.4,1.71,3.72,3.79,0.0,8.24,3.79,0.0,0.07
8131,Greece,1999,214.634217472,49.55,49.39,0.0,32.38,44.64,3.91,4.59,4.75,0.0,8.35,4.75,0.0,0.16
8132,Greece,2000,225.054588928,53.41,53.42,0.0,34.31,49.28,5.92,3.69,4.14,0.0,9.05,4.14,0.0,0.45
8133,Greece,2001,236.462129152,55.58,53.08,0.08,35.43,50.14,6.13,2.1,2.94,0.0,8.58,2.94,0.0,0.76
8134,Greece,2002,247.945854976,56.85,53.95,0.13,34.57,50.37,7.06,2.8,3.58,0.0,8.74,3.58,0.0,0.65
8135,Greece,2003,264.671526912,59.99,57.9,0.1,35.17,52.01,8.02,4.77,5.89,0.0,8.82,5.89,0.0,1.02
8136,Greece,2004,280.566759424,61.62,58.8,0.12,35.38,52.89,8.99,4.67,5.91,0.0,8.52,5.91,0.0,1.12
8137,Greece,2005,284.786819072,63.21,59.43,0.12,35.54,53.02,8.17,5.02,6.41,0.0,9.31,6.41,0.0,1.27
8138,Greece,2006,303.593193472,64.37,60.17,0.11,32.26,52.5,10.61,5.86,7.67,0.0,9.63,7.67,0.0,1.7
8139,Greece,2007,316.350857216,67.07,62.71,0.18,34.68,58.12,14.16,2.59,4.59,0.0,9.28,4.59,0.0,1.82
8140,Greece,2008,318.1273088,68.53,62.92,0.19,33.36,57.17,13.8,3.31,5.75,0.0,10.01,5.75,0.01,2.24
8141,Greece,2009,307.180732416,65.44,61.07,0.22,34.19,52.91,11.02,5.35,8.16,0.0,7.7,8.16,0.05,2.54
8142,Greece,2010,292.966531072,63.09,57.38,0.19,30.8,46.85,9.85,7.47,10.53,0.0,6.2,10.53,0.16,2.71
8143,Greece,2011,268.611518464,62.42,59.19,0.21,31.07,51.04,14.07,4.01,8.15,0.0,5.9,8.15,0.61,3.32
8144,Greece,2012,248.992874496,62.53,60.75,0.2,31.11,50.62,13.48,4.39,10.13,0.0,6.03,10.13,1.69,3.85
8145,Greece,2013,240.930471936,59.01,57.12,0.22,26.4,42.76,10.88,6.35,14.36,0.0,5.48,14.36,3.65,4.14
8146,Greece,2014,241.77639424,59.17,50.35,0.22,25.75,38.17,6.79,4.48,12.18,0.0,5.63,12.18,3.79,3.69
8147,Greece,2015,241.242128384,61.44,51.83,0.23,22.11,36.98,9.09,6.1,14.85,0.0,5.78,14.85,3.9,4.62
